Unnamed: 0,timestamp,week,time,year,date,id,text,location,Hour,Day/night,longtitude,latitude
167,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-86.560616,35.994568
211,Wed Nov 06 22:15:15 +0000 2019,Wed,22:15:15,2019,Nov 06,1192203820434104322,"@EricaLG @C_C_Mitchell Thank you for going and giving a voice to these students and families. And echoing what you\u2026 https:\/\/t.co\/P4IkQBfziT""display_text_range:[23140]","""Washington D.C.""",22,0,-77.119401,38.801826
211,Wed Nov 06 22:15:15 +0000 2019,Wed,22:15:15,2019,Nov 06,1192203820434104322,"@EricaLG @C_C_Mitchell Thank you for going and giving a voice to these students and families. And echoing what you\u2026 https:\/\/t.co\/P4IkQBfziT""display_text_range:[23140]","""Washington D.C.""",22,0,-77.119401,38.995380
211,Wed Nov 06 22:15:15 +0000 2019,Wed,22:15:15,2019,Nov 06,1192203820434104322,"@EricaLG @C_C_Mitchell Thank you for going and giving a voice to these students and families. And echoing what you\u2026 https:\/\/t.co\/P4IkQBfziT""display_text_range:[23140]","""Washington D.C.""",22,0,-76.909396,38.995380
211,Wed Nov 06 22:15:15 +0000 2019,Wed,22:15:15,2019,Nov 06,1192203820434104322,"@EricaLG @C_C_Mitchell Thank you for going and giving a voice to these students and families. And echoing what you\u2026 https:\/\/t.co\/P4IkQBfziT""display_text_range:[23140]","""Washington D.C.""",22,0,-76.909396,38.801826
212,Wed Nov 06 22:15:15 +0000 2019,Wed,22:15:15,2019,Nov 06,1192203820434104322,"@EricaLG @C_C_Mitchell Thank you for going and giving a voice to these students and families. And echoing what you\u2026 https:\/\/t.co\/P4IkQBfziT""display_text_range:[23140]","""Washington D.C.""",22,0,-77.119401,38.801826
212,Wed Nov 06 22:15:15 +0000 2019,Wed,22:15:15,2019,Nov 06,1192203820434104322,"@EricaLG @C_C_Mitchell Thank you for going and giving a voice to these students and families. And echoing what you\u2026 https:\/\/t.co\/P4IkQBfziT""display_text_range:[23140]","""Washington D.C.""",22,0,-77.119401,38.995380
212,Wed Nov 06 22:15:15 +0000 2019,Wed,22:15:15,2019,Nov 06,1192203820434104322,"@EricaLG @C_C_Mitchell Thank you for going and giving a voice to these students and families. And echoing what you\u2026 https:\/\/t.co\/P4IkQBfziT""display_text_range:[23140]","""Washington D.C.""",22,0,-76.909396,38.995380
212,Wed Nov 06 22:15:15 +0000 2019,Wed,22:15:15,2019,Nov 06,1192203820434104322,"@EricaLG @C_C_Mitchell Thank you for going and giving a voice to these students and families. And echoing what you\u2026 https:\/\/t.co\/P4IkQBfziT""display_text_range:[23140]","""Washington D.C.""",22,0,-76.909396,38.801826
243,Thu Nov 07 16:37:48 +0000 2019,Thu,16:37:48,2019,Nov 07,1192481285068984320,"@RageAgainstGMo Hollywood needs to come down here. So many draw bridges to film car chase scenes on.""display_text_range:[16100]","""Norfolk VA""",16,1,-76.334287,36.820791
243,Thu Nov 07 16:37:48 +0000 2019,Thu,16:37:48,2019,Nov 07,1192481285068984320,"@RageAgainstGMo Hollywood needs to come down here. So many draw bridges to film car chase scenes on.""display_text_range:[16100]","""Norfolk VA""",16,1,-76.334287,36.969373
243,Thu Nov 07 16:37:48 +0000 2019,Thu,16:37:48,2019,Nov 07,1192481285068984320,"@RageAgainstGMo Hollywood needs to come down here. So many draw bridges to film car chase scenes on.""display_text_range:[16100]","""Norfolk VA""",16,1,-76.177085,36.969373
243,Thu Nov 07 16:37:48 +0000 2019,Thu,16:37:48,2019,Nov 07,1192481285068984320,"@RageAgainstGMo Hollywood needs to come down here. So many draw bridges to film car chase scenes on.""display_text_range:[16100]","""Norfolk VA""",16,1,-76.177085,36.820791
